9496975.000000,5000000.000000
9496974.975482,5000469.569060
9496974.901927,5000939.138115
9496974.779335,5001408.707160
9496974.607707,5001878.276189
9496974.387043,5002347.845198
9496974.117342,5002817.414181
9496973.798604,5003286.983133
9496973.430829,5003756.552050
9496973.014019,5004226.120926
9496972.548171,5004695.689755
9496972.033287,5005165.258534
9496971.469367,5005634.827256
9496970.856409,5006104.395917
9496970.194416,5006573.964511
9496969.483386,5007043.533033
9496968.723319,5007513.101479
9496967.914216,5007982.669842
9496967.056076,5008452.238119
9496966.148900,5008921.806303
9496965.192687,5009391.374391
9496964.187438,5009860.942375
9496963.133152,5010330.510253
9496962.029830,5010800.078017
9496960.877472,5011269.645664
9496959.676077,5011739.213188
9496958.425646,5012208.780584
9496957.126178,5012678.347847
9496955.777674,5013147.914971
9496954.380133,5013617.481952
9496952.933556,5014087.048785
9496951.437943,5014556.615464
9496949.893294,5015026.181984
9496948.299608,5015495.748341
9496946.656886,5015965.314528
9496944.965127,5016434.880542
9496943.224333,5016904.446376
9496941.434502,5017374.012026
9496939.595635,5017843.577486
9496937.707731,5018313.142752
9496935.770792,5018782.707818
9496933.784816,5019252.272680
9496931.749804,5019721.837331
9496929.665757,5020191.401768
9496927.532673,5020660.965984
9496925.350553,5021130.529975
9496923.119396,5021600.093735
9496920.839204,5022069.657260
9496918.509976,5022539.220544
9496916.131712,5023008.783583
9496913.704412,5023478.346370
9496911.228076,5023947.908902
9496908.702705,5024417.471173
9496906.128297,5024887.033177
9496903.504854,5025356.594910
9496900.832374,5025826.156366
9496898.110859,5026295.717541
9496895.340308,5026765.278429
9496892.520722,5027234.839025
9496889.652100,5027704.399324
9496886.734442,5028173.959321
9496883.767749,5028643.519011
9496880.752019,5029113.078388
9496877.687255,5029582.637448
9496874.573455,5030052.196186
9496871.410619,5030521.754596
9496868.198748,5030991.312672
9496864.937842,5031460.870411
9496861.627900,5031930.427807
9496858.268923,5032399.984855
9496854.860910,5032869.541550
9496851.403862,5033339.097886
9496847.897779,5033808.653858
9496844.342661,5034278.209462
9496840.738508,5034747.764692
9496837.085319,5035217.319543
9496833.383096,5035686.874010
9496829.631837,5036156.428088
9496825.831544,5036625.981772
9496821.982215,5037095.535056
9496818.083852,5037565.087936
9496814.136453,5038034.640406
9496810.140020,5038504.192462
9496806.094552,5038973.744097
9496802.000050,5039443.295308
9496797.856512,5039912.846089
9496793.663940,5040382.396434
9496789.422334,5040851.946339
9496785.131692,5041321.495798
9496780.792017,5041791.044807
9496776.403306,5042260.593360
9496771.965562,5042730.141453
9496767.478783,5043199.689079
9496762.942970,5043669.236235
9496758.358122,5044138.782914
9496753.724240,5044608.329112
9496749.041325,5045077.874823
9496744.309374,5045547.420043
9496739.528390,5046016.964766
9496734.698372,5046486.508988
9496729.819320,5046956.052702
9496724.891234,5047425.595905
9496719.914114,5047895.138590
9496714.887961,5048364.680753
9496709.812773,5048834.222389
9496704.688552,5049303.763492
9496699.515298,5049773.304058
9496694.293009,5050242.844081
9496689.021688,5050712.383556
9496683.701332,5051181.922478
9496678.331944,5051651.460842
9496672.913522,5052120.998642
9496667.446066,5052590.535875
9496661.929578,5053060.072533
9496656.364056,5053529.608614
9496650.749501,5053999.144110
9496645.085913,5054468.679018
9496639.373293,5054938.213332
9496633.611639,5055407.747047
9496627.800952,5055877.280157
9496621.941233,5056346.812658
9496616.032481,5056816.344545
9496610.074696,5057285.875812
9496604.067878,5057755.406455
9496598.012028,5058224.936468
9496591.907146,5058694.465846
9496585.753231,5059163.994584
9496579.550284,5059633.522676
9496573.298305,5060103.050119
9496566.997293,5060572.576906
9496560.647249,5061042.103033
9496554.248173,5061511.628494
9496547.800065,5061981.153284
9496541.302926,5062450.677398
9496534.756754,5062920.200832
9496528.161551,5063389.723579
9496521.517316,5063859.245635
9496514.824049,5064328.766995
9496508.081751,5064798.287653
9496501.290421,5065267.807605
9496494.450060,5065737.326844
9496487.560667,5066206.845368
9496480.622243,5066676.363169
9496473.634788,5067145.880243
9496466.598302,5067615.396585
9496459.512785,5068084.912190
9496452.378237,5068554.427052
9496445.194658,5069023.941166
9496437.962048,5069493.454528
9496430.680408,5069962.967133
9496423.349737,5070432.478974
9496415.970035,5070901.990047
9496408.541303,5071371.500348
9496401.063540,5071841.009869
9496393.536747,5072310.518608
9496385.960924,5072780.026558
9496378.336070,5073249.533714
9496370.662187,5073719.040072
9496362.939274,5074188.545626
9496355.167330,5074658.050371
9496347.346357,5075127.554302
9496339.476354,5075597.057413
9496331.557322,5076066.559700
9496323.589260,5076536.061158
9496315.572168,5077005.561781
9496307.506047,5077475.061565
9496299.390897,5077944.560503
9496291.226717,5078414.058592
9496283.013509,5078883.555826
9496274.751271,5079353.052199
9496266.440005,5079822.547707
9496258.079709,5080292.042345
9496249.670385,5080761.536107
9496241.212032,5081231.028989
9496232.704651,5081700.520985
9496224.148241,5082170.012090
9496215.542802,5082639.502299
9496206.888336,5083108.991607
9496198.184841,5083578.480008
9496189.432318,5084047.967498
9496180.630767,5084517.454072
9496171.780188,5084986.939724
9496162.880581,5085456.424449
9496153.931947,5085925.908243
9496144.934285,5086395.391100
9496135.887595,5086864.873014
9496126.791878,5087334.353981
9496117.647134,5087803.833996
9496108.453362,5088273.313054
9496099.210563,5088742.791149
9496089.918738,5089212.268276
9496080.577885,5089681.744430
9496071.188005,5090151.219607
9496061.749099,5090620.693800
9496052.261166,5091090.167006
9496042.724207,5091559.639218
9496033.138221,5092029.110431
9496023.503209,5092498.580641
9496013.819171,5092968.049843
9496004.086106,5093437.518031
