65.000000,6.000000
3321067965580992000.000000,3321103855395591200.000000
8823699888047362100000000000000.000000,8823795243203096000000000000000.000000
52748025988325941000000000000000000000000000.000000,52748596020885597000000000000000000000000000.000000
560582024616357910000000000000000000000000000000000000000.000000,560588082663088630000000000000000000000000000000000000000.000000
9308766786614966700000000000000000000000000000000000000000000000000000.000000,9308867383747451400000000000000000000000000000000000000000000000000000.000000
222591012210062790000000000000000000000000000000000000000000000000000000000000000000.000000,222593417686326040000000000000000000000000000000000000000000000000000000000000000000.000000
7244637808072608600000000000000000000000000000000000000000000000000000000000000000000000000000000.000000,7244716098764179200000000000000000000000000000000000000000000000000000000000000000000000000000000.000000
307970859873322060000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.000000,307974188024741320000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.000000
16569431886530092000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.000000,16569610947556425000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.000000
